,NBR_EMPLOYEES,EMPL_GROWTH,COUNTRY_RISK_GROWTH_RATE,COUNTRY_RISK_DIVIDEND_YIELD,COUNTRY_RISK_PAYOUT_RATIO,VOLATILITY_30D,VOLATILITY_180D,PCT_CHG_1_YEAR,PCT_CHG_6_M,DIVIDEND_YIELD,MARKETCAP,TOTAL_ASSETS,TOTAL_LIABILITIES,CURRENT_ASSETS,EBIT,RETAINED_EARNINGS,SALES,SALES_GROWTH,INTEREST_EXPENSES,WHISTLE_BLOWER_POLICY,ETHICS_POLICY,BRIBERY_POLICY,PCT_WOMEN_EMPLOYEES,PCT_WOMEN_MGT,DEFAULT_PROB
10,-0.17911304008135398,-0.0257951008593559,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-0.762367655873605,-0.4697999593748479,0.19335065382659902,-0.506819488554007,0.0713406691542725,0.0585107703650787,-0.121709376825334,-0.0998188368937572,-0.0551202358485332,-0.0968099964413046,-0.0271428803484593,-0.14394078914028602,0.00721211365728144,-0.23379505397868303,0,0,0,-1.0,-1.0,0.00493408224099331
11,1.81586531565814,-0.0273415706970734,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-0.9837553047892529,-0.9771394409956751,0.042006572170885,-0.286794467220161,0.606490640874229,1.03989114090434,-0.0224975702167711,-0.019135878586785997,0.0170930386605847,0.5548140494338379,0.19933188215457398,0.8579450728944209,-0.0745466458201339,-0.22030414923736602,0,0,0,-1.0,-1.0,0.00552255529862245
12,1.12275421230662,-0.0333475800216617,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-1.01642342882753,-1.07927424278929,0.023625793343599003,0.0165915145041525,0.229448533144344,1.2917591193999498,0.0179893100335941,0.010403773983971,0.0473865534692594,0.7532154568929191,0.271269221800302,0.378700965982011,-0.0431589237716595,-0.170837498519204,0,0,0,-1.0,-1.0,0.00432425084914523
13,-0.26703193474533,-0.0348894277382219,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-0.892360305474731,-0.9780763725776259,0.141951480134287,-0.40008409617438,0.354778252597095,0.7163126559417221,-0.11173246100534198,-0.10178182695342801,-0.0478933888165334,0.213104998373952,0.0320719473735957,-0.160636303368175,-0.0361782063331023,-0.23104290941145397,0,0,0,-1.0,-1.0,0.00217566987819937
14,0.0138668003614977,0.0012841060692128901,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-0.6710153549151221,-0.7534535362929059,-0.215675092669871,-0.526217077446582,0.00531252257031377,0.299584770884604,-0.0716755793452218,-0.0732138686595607,-0.0524921450765298,0.0986541473901382,0.161842552513378,-0.131737435436895,0.0473372934124753,-0.226024292847684,0,0,0,0.66,0.46,0.00593526109360643
15,-0.225343871931495,0.0121065295299786,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-1.16923103001313,-1.23304097714012,-0.299960185605603,-0.37288424869832104,0.988794308212659,0.0706231135527915,0.0756601814059631,0.0213813271510623,-0.0711504296288742,0.101006357565083,0.25410921573984896,-0.22602993924973602,-0.026218758254256003,0.160647521879691,0,0,0,0.756900024414062,-1.0,0.0074180610315258706
16,0.007617355665143171,-0.0335293116641485,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-0.498940425555356,-0.550541586498915,0.604762499938526,0.663279293558168,0.0647534977638641,0.049462578866219,-0.073947936295582,-0.0690785004912986,-0.03859288301391299,-0.146511856002914,-0.0802683246715965,-0.136265808940533,-0.157691264063318,-0.10787994305972601,0,0,1,-1.0,-1.0,0.0082449794478283
17,-0.17911304008135398,-0.0257951008593559,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-0.762367655873605,-0.4697999593748479,0.19335065382659902,-0.506819488554007,0.0713406691542725,0.0585107703650787,-0.121709376825334,-0.0998188368937572,-0.0551202358485332,-0.0968099964413046,-0.0271428803484593,-0.14394078914028602,0.00721211365728144,-0.23379505397868303,0,0,0,-1.0,-1.0,0.00493408224099331
18,-0.244443580421157,-0.0246036469141655,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-0.663886947553089,-0.49390554808059606,0.8542552910649699,0.599037110261937,-0.34491591072081795,0.40281633700319797,-0.130101473547818,-0.10408548477379302,-0.0684370595786652,-0.0826764338522661,-0.0520215381487121,-0.23527244413066398,0.0420339715448841,-0.212992078867572,0,0,0,0.46,0.31,0.00608487536643321
19,1.12275421230662,-0.0333475800216617,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-1.01642342882753,-1.07927424278929,0.023625793343599003,0.0165915145041525,0.229448533144344,1.2917591193999498,0.0179893100335941,0.010403773983971,0.0473865534692594,0.7532154568929191,0.271269221800302,0.378700965982011,-0.0431589237716595,-0.170837498519204,0,0,0,-1.0,-1.0,0.00432425084914523
20,0.384290713106464,-0.0368222248287137,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-0.544624893896163,-0.6988470340437671,-0.40334793839778205,-0.5793931307250239,-0.566459165165442,0.172903230214414,0.0511836244295325,0.0377268076641472,-0.0326438715156609,-0.0443582010925875,-0.341912297109634,0.24884556554282397,0.133390026552032,0.8166967285451869,1,1,0,-1.0,-1.0,0.0138145653903692
21,-0.0488033338023469,-0.0425182045719998,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-0.42253587635501794,-0.8597700969569251,-0.348193106473421,-0.378190585778268,0.246982589814819,0.77496406578673,-0.0785447986120408,-0.0695158705409896,-0.0541200597490526,0.298368695327425,-0.178058145752508,-0.10278456323691802,-0.00561807710097755,-0.181630222312258,0,0,0,0.24,0.0919999980926514,0.0037568187825454797
